commune_nom;voie_nom;commune_insee
Paris;Rue du Simplon;75118
Paris;Rue Juillet;75120
Paris;Rue Alexandre Charpentier;75117
Paris;Rue du Soleil;75120
Paris;Villa des Otages;75120
Paris;Rue de l'Arrivée;75115
Paris;Rue Chaligny;75112
Paris;Rue Sainte-Anastase;75103
Paris;Place Olympe de Gouges;75103
Paris;Rue des Ardennes;75119
Paris;Rue Chateaubriand;75108
Paris;Rue Roquépine;75108
Paris;Rue de la Py;75120
Paris;Rue de la Folie-Regnault;75111
Paris;Rue de l'Asile Popincourt;75111
Paris;Boulevard Voltaire;75111
Paris;Rue Tchaïkovski;75118
Paris;Rue Mademoiselle;75115
Paris;Rue Riblette;75120
Paris;Rue de la Goutte d'Or;75118
Paris;Rue des Amandiers;75120
Paris;Place Auguste Métivier;75120
Paris;Rue du Champ de Mars;75107
Paris;Rue de l'Hôtel de Ville;75104
Paris;Place des Victoires;75101
Paris;4P2 Rue des Carrières d'Amérique;75119
Paris;Rue Victor Massé;75109
Paris;Square Pétrelle;75109
Paris;Rue de la Moskova;75118
Paris;Passage du Caire;75102
Paris;Boulevard de la Tour-Maubourg;75107
Paris;Rue du Bac;75107
Paris;Cité des Trois Bornes;75111
Paris;Rue de la Fontaine au Roi;75111
Paris;Boulevard Suchet;75116
Paris;Villa Eugène Leblanc;75119
Paris;Place René Char;75107
Paris;Rue du Ranelagh;75116
Paris;Rue Paul Valéry;75116
Paris;Square Villaret de Joyeuse;75117
Paris;Rue Chambiges;75108
Paris;Rue Catherine de la Rochefoucauld;75109
Paris;Rue de Bièvre;75105
Paris;Avenue de Clichy;75118
Paris;Passage de Clichy;75118
Paris;Boulevard Exelmans;75116
Paris;Galerie de Beaujolais;75101
Paris;Square de Montsouris;75114
Paris;Avenue Emile Zola;75115
Paris;Place Camille Claudel;75115
Paris;Rue du Théâtre;75115
Paris;Voie Ag/18;75118
Paris;Rue Dareau;75114
Paris;Voie Dy/13;75113
Paris;Avenue Ernest Reyer;75114
Paris;Rue Chabanais;75102
Paris;Avenue Secrétan;75119
Paris;Rue Emile Desvaux;75119
Paris;Cité Saint-Chaumont;75119
Paris;Rue de Saintonge;75103
Paris;Boulevard de Vaugirard;75115
Paris;Rue Violet;75115
Paris;Rue Philidor;75120
Paris;Rue Frémicourt;75115
Paris;Rue de Lagny;75120
Paris;Rue Gros;75116
Paris;Rue George Sand;75116
Paris;Avenue du Général Mangin;75116
Paris;Avenue Lamoricière;75112
Paris;Rue de la Réunion;75120
Paris;Boulevard de Sébastopol;75101
Paris;Rue de Lappe;75111
Paris;Impasse Clisson;75113
Paris;Rue Albert Bayet;75113
Paris;Rue de la Chaise;75107
Paris;Rue du Four;75106
Paris;Rue Monte Cristo;75120
Paris;Rue Lecourbe;75115
Paris;Rue de Chaillot;75116
Paris;Rue Sorbier;75120
Paris;Cour du Liégat;75113
Paris;Villa du vieux chemin d'Ivry;75113
Paris;Rue Petit;75119
Paris;Rue Albert;75113
Paris;Boulevard Ornano;75118
Paris;Rue du Capitaine Ferber;75120
Paris;Rue des Tanneries;75113
Paris;Rue Marcel Sembat;75118
Paris;Place Arnault Tzanck;75117
Paris;Boulevard de la Guyane;75112
Paris;Rue Pierre Leroux;75107
Paris;Boulevard de l'Hôpital;75113
Paris;Rue de Rungis;75113
Paris;Rue Mstislav Rostropovitch;75117
Paris;Rue Jules Guesde;75114
Paris;Rue Saint-Lazare;75109
Paris;Rue de Poitou;75103
Paris;Rue d'Alsace-Lorraine;75119
Paris;Rue Falguière;75115
Paris;Avenue de Corbera;75112
Paris;Cité Auguste Chabrières;75115
Paris;Rue des Longues Raies;75113
Paris;Rue Camille Blaisot;75117
Paris;Rue d'Artois;75108
Paris;Avenue Foch;75116
Paris;Rue du Marché des Blancs Manteaux;75104
Paris;Rue Richomme;75118
Paris;77P4 Rue des Dames;75117
Paris;Avenue de Saxe;75115
Paris;Rue Jean Giono;75113
Paris;Rue de l'Ouest;75114
Paris;Rue Damrémont;75118
Paris;Rue Jouffroy d'Abbans;75117
Paris;Place Dupleix;75115
Paris;Place Saint-Sulpice;75106
Paris;Place Dauphine;75101
Paris;Rue Emile Bollaert;75119
Paris;Rue Ferdinand Duval;75104
Paris;Port de Grenelle;75115
Paris;Rue Blomet;75115
Paris;Rue du Calvaire;75118
Paris;Impasse Dombasle;75115
Paris;Rue Norvins;75118
Paris;Cité du Retiro;75108
Paris;Rue Saint-Charles;75115
Paris;Rue de Rambervillers;75112
Paris;Ruelle Bidault;75112
Paris;Rue des Trois Frères;75118
Paris;Rue Villiers de l'Isle Adam;75120
Paris;Rue Philippe de Girard;75118
Paris;Rue Dalloz;75113
Paris;Square Albert Bartholomé;75115
Paris;Rue la Fayette;75110
Paris;Boulevard Jourdan;75114
Paris;Allée Eric Chabeur;75113
Paris;Impasse Milord;75118
Paris;Rue Letort;75118
Paris;Rue Boyer;75120
Paris;Rue d'Aubervilliers;75118
Paris;Rue Dugommier;75112
Paris;Rue de la Liberté;75119
Paris;Rue du Moulin Vert;75114
Paris;Rue Ledion;75114
Paris;Voie Bc/14;75114
Paris;Rue Lauriston;75116
Paris;Rue du Faubourg Montmartre;75109
Paris;Rue des Amiraux;75118
Paris;Rue Firmin Gémier;75118
Paris;Rue de la Tour;75116
Paris;Rue du Mont Thabor;75101
Paris;Place de la Porte d'Auteuil;75116
Paris;Rue Le Bua;75120
Paris;Rue Navier;75117
Paris;Rue Coustou;75118
Paris;Square Trudaine;75109
Paris;Route de Ceinture du Lac Daumesnil;75112
Paris;Chemin de Ceinture du Lac Inférieur;75116
Paris;Avenue Edison;75113
Paris;Rue des Cloÿs;75118
Paris;Rue de Sambre-Et-Meuse;75110
Paris;Rue Auber;75109
Paris;Rue Charcot;75113
Paris;Rue de Chazelles;75117
Paris;Rue Sainte-Marthe;75110
Paris;Rue Alain Chartier;75115
Paris;Avenue Stéphen Pichon;75113
Paris;Place de la Porte de Champerret;75117
Paris;Avenue Rachel;75118
Paris;Rue de Monceau;75108
Paris;Rue des Deux Avenues;75113
Paris;Avenue Paul Doumer;75116
Paris;Rue de la Bidassoa;75120
Paris;Rue Philippe de Girard;75110
Paris;Passage du Moulinet;75113
Paris;Rue Milton;75109
Paris;Rue Paul Fort;75114
Paris;Rue des Blancs Manteaux;75104
Paris;Rue de Wattignies;75112
Paris;Passage Driancourt;75112
Paris;Rue Notre-Dame des Champs;75106
Paris;Rue Nicolas Appert;75111
Paris;Rue du Pré Saint-Gervais;75119
Paris;Rue de la Grange aux Belles;75110
Paris;Rue Taylor;75110
Paris;Boulevard Poniatowski;75112
Paris;Avenue Albert Bartholomé;75115
Paris;Rue Emile Reynaud;75119
Paris;Place Robert Desnos;75110
Paris;Boulevard Berthier;75117
Paris;Cours du Septième Art;75119
Paris;Rue du Nord;75118
Paris;Boulevard Poissonnière;75102
Paris;Rue des Cévennes;75115
Paris;Cour du Ponant;75112
Paris;Rue Biot;75117
Paris;Rue Albert Malet;75112
Paris;Rue Neuve des Boulets;75111
Paris;Passage Daunay;75118
Paris;Rue Balard;75115
Paris;Rue des Cinq Diamants;75113
Paris;Passage de la Trinité;75102
Paris;Place de la République;75103
Paris;Rue Pascal;75105
Paris;Rue Boyer-Barret;75114
Paris;Rue du Liban;75120
Paris;Rue Weber;75116
Paris;Rue Legendre;75117
Paris;Rue des Martyrs;75109
Paris;Villa Godin;75120
Paris;Avenue Silvestre de Sacy;75107
Paris;Rue Regnault;75113
Paris;Rue Léon;75118
Paris;Rue Gandon;75113
Paris;Passage Lemoine;75102
Paris;Rue Bridaine;75117
Paris;Rue Bruneseau;75113
Paris;Boulevard de Grenelle;75115
Paris;Villa Robert Doisneau;75113
Paris;Rue Fernand Léger;75120
Paris;Rue Saint-Martin;75103
Paris;Rue des Moines;75117
Paris;Cité Leclaire;75120
Paris;Rue Antoine Chantin;75114
Paris;Place de l'Amphithéâtre;75114
Paris;Rue Augereau;75107
Paris;Rue Victor Ségalen;75120
Paris;Avenue Georges Lafenestre;75114
Paris;Rue des Vinaigriers;75110
Paris;Rue Cimarosa;75116
Paris;Rue Chapon;75103
Paris;Quai d'Orsay;75107
Paris;Rue d'Auteuil;75116
Paris;Rue Francoeur;75118
Paris;Cour du Cantal;75111
Paris;Rue des Tournelles;75103
Paris;Rue François Truffaut;75112
Paris;Boulevard Auguste Blanqui;75113
Paris;Rue Vasco de Gama;75115
Paris;Rue Omer Talon;75111
Paris;Avenue Henri Martin;75116
Paris;Avenue de Malakoff;75116
Paris;Rue de Gergovie;75114
Paris;Avenue Claude Vellefaux;75110
Paris;Rue François Miron;75104
Paris;Rue des Sablons;75116
Paris;Rue de la Convention;75115
Paris;Rue Armand Carrel;75119
Paris;Rue Stephenson;75118
Paris;Rue Pétrelle;75109
Paris;Rue Roli;75114
Paris;Rue Boulard;75114
Paris;Rue Aristide Maillol;75115
Paris;Rue de Thionville;75119
Paris;Rue Henri Ribière;75119
Paris;Route de Sèvres à Neuilly;75116
Paris;Rue Monge;75105
Paris;Rue Vieille du Temple;75103
Paris;Rue du Conseiller Collignon;75116
Paris;Rue Joanès;75114
Paris;Rue du Général Aubé;75116
Paris;Avenue de la Motte-Picquet;75107
Paris;Rue Labrouste;75115
Paris;Rue du Général Appert;75116
Paris;1P1 Place Jean Pronteau;75114
Paris;Rue Belliard;75118
Paris;Place Gérard Oury;75108
Paris;Rue Alfred de Vigny;75108
Paris;Cours de Vincennes;75120
Paris;Avenue du Maine;75114
Paris;Rue du Ruisseau;75118
Paris;Rue Hassard;75119
Paris;Rue Poliveau;75105
Paris;Rue Guisarde;75106
Paris;Rue Oberkampf;75111
Paris;Rue Léon Frot;75111
Paris;Boulevard Richard Lenoir;75111
Paris;Place de Séoul;75114
Paris;Rue de la Roquette;75111
Paris;Rue du Capitaine Ménard;75115
Paris;Impasse de Lévis;75117
Paris;Rue Louise Weiss;75113
Paris;Rue de Londres;75109
Paris;Rue du Havre;75109
Paris;Rue de Courcelles;75117
Paris;Rue Raymond Losserand;75114
Paris;Rue de l'Amiral Courbet;75116
Paris;Rue de Rivoli;75101
Paris;Rue La Vieuville;75118
Paris;Rue des Grands Augustins;75106
Paris;Rue Taine;75112
Paris;Avenue Pierre Mendès France;75113
Paris;Rue Quentin-Bauchart;75108
Paris;Villa des Lilas;75119
Paris;Rue Dupuy de Lôme;75113
Paris;Rue du Commandant Léandri;75115
Paris;Rue de Belleville;75119
Paris;Allée des Frères Voisin;75115
Paris;Rue Emile Borel;75117
Paris;Passage des Soupirs;75120
Paris;Rue Tourlaque;75118
Paris;Rue Lamarck;75118
Paris;Avenue Félix Faure;75115
Paris;Place du Brésil;75117
Paris;Rue de Panama;75118
Paris;Avenue Simon Bolivar;75119
Paris;Avenue de Clichy;75117
Paris;Impasse Morlet;75111
Paris;Rue de Navarre;75105
Paris;Passage du Génie;75112
Paris;Rue de la Montagne de la Fage;75115
Paris;Boulevard Henri IV;75104
Paris;Rue du Docteur Finlay;75115
Paris;Rue Manin;75119
Paris;Place Rhin et Danube;75119
Paris;Rue Gay-Lussac;75105
Paris;Rue Vital;75116
Paris;Rue Fragonard;75117
Paris;Rue de la Santé;75113
Paris;Rue de Kabylie;75119
Paris;Rue Gazan;75114
Paris;Rue Réaumur;75103
Paris;Rue de l'Abbé Groult;75115
Paris;Rue Edmond Flamand;75113
Paris;Rue Pauly;75114
Paris;Rue de la Lune;75102
Paris;Rue de la Fraternité;75119
Paris;Rue Claude Bernard;75105
Paris;Rue Paul Gervais;75113
Paris;Rue de l'Avre;75115
Paris;Rue Barthélemy;75115
Paris;Rue Damesme;75113
Paris;Rue Robert Fleury;75115
Paris;Rue des Martyrs;75118
Paris;Rue Jouye-Rouve;75120
Paris;Boulevard Saint-Denis;75110
Paris;Place Marcelin Berthelot;75105
Paris;Rue du Maroc;75119
Paris;Rue de Dunkerque;75110
Paris;Avenue de Suffren;75115
Paris;Rue Léonce Reynaud;75116
Paris;Rue d'Amsterdam;75109
Paris;Boulevard Soult;75112
Paris;Boulevard de la Madeleine;75108
Paris;Galerie des Variétés;75102
Paris;Rue Benjamin Franklin;75116
Paris;Rue Caron;75104
Paris;Rue Brey;75117
Paris;Villa Guizot;75117
Paris;Rue Lemercier;75117
Paris;Rue d'Oran;75118
Paris;Rue aux Ours;75103
Paris;Rue Fondary;75115
Paris;Rue Georges de Porto-Riche;75114
Paris;Rue du Montparnasse;75114
Paris;Boulevard Kellermann;75113
Paris;Rue de Franqueville;75116
Paris;Rue de la Jonquière;75117
Paris;Rue de Talleyrand;75107
Paris;Rue Saint-Martin;75104
Paris;Quai François Mitterrand;75101
Paris;Rue Erasme;75105
Paris;Rue Jean Macé;75111
Paris;Rue des Couronnes;75120
Paris;Cité de Trévise;75109
Paris;Rue Séguier;75106
Paris;Place de Ménilmontant;75120
Paris;Rue Greneta;75102
Paris;Rue de Clichy;75109
Paris;Avenue du Maine;75115
Paris;Rue du Caire;75102
Paris;Rue Marguerite Boucicaut;75115
Paris;Avenue Philippe-Auguste;75111
Paris;Rue Gustave Charpentier;75117
