Adresse,Nombre de pièces,Époque de construction,Type de location,Loyer minimum (€/m²),Loyer médian (€/m²),Loyer maximum (€/m²)
"Rue Carolus Duran, 75119 Paris",3 pièces,1946-1970,non meublée,15.7,22.4,26.9
"Rue Carolus Duran, 75119 Paris",3 pièces,1971-1990,meublée,15.7,22.4,26.9
"Rue Carolus Duran, 75119 Paris",3 pièces,1971-1990,non meublée,15.7,22.4,26.9
"Rue Carolus Duran, 75119 Paris",3 pièces,après 1990,meublée,15.7,22.4,26.9
"Rue Carolus Duran, 75119 Paris",3 pièces,après 1990,non meublée,15.7,22.4,26.9
"Rue Carolus Duran, 75119 Paris",4 pièces et plus,avant 1946,meublée,15.7,22.4,26.9
"Rue Carolus Duran, 75119 Paris",4 pièces et plus,avant 1946,non meublée,15.7,22.4,26.9
"Rue Carolus Duran, 75119 Paris",4 pièces et plus,1946-1970,meublée,15.7,22.4,26.9
"Rue Carolus Duran, 75119 Paris",4 pièces et plus,1946-1970,non meublée,15.7,22.4,26.9
"Rue Carolus Duran, 75119 Paris",4 pièces et plus,1971-1990,meublée,15.7,22.4,26.9
"Rue Carolus Duran, 75119 Paris",4 pièces et plus,1971-1990,non meublée,15.7,22.4,26.9
"Rue Carolus Duran, 75119 Paris",4 pièces et plus,après 1990,meublée,15.7,22.4,26.9
"Rue Carolus Duran, 75119 Paris",4 pièces et plus,après 1990,non meublée,15.7,22.4,26.9
"Impasse des Trois Soeurs, 75111 Paris",1 pièce,avant 1946,meublée,23.6,33.7,40.4
"Impasse des Trois Soeurs, 75111 Paris",1 pièce,avant 1946,non meublée,20.7,29.6,35.5
"Impasse des Trois Soeurs, 75111 Paris",1 pièce,1946-1970,meublée,17.9,25.6,30.7
"Impasse des Trois Soeurs, 75111 Paris",1 pièce,1946-1970,non meublée,17.9,25.6,30.7
"Impasse des Trois Soeurs, 75111 Paris",1 pièce,1971-1990,meublée,21.6,30.8,37.0
"Impasse des Trois Soeurs, 75111 Paris",1 pièce,1971-1990,non meublée,16.7,23.9,28.7
"Impasse des Trois Soeurs, 75111 Paris",1 pièce,après 1990,meublée,16.7,23.9,28.7
"Impasse des Trois Soeurs, 75111 Paris",1 pièce,après 1990,non meublée,16.7,23.9,28.7
"Impasse des Trois Soeurs, 75111 Paris",2 pièces,avant 1946,meublée,16.4,23.4,28.1
"Impasse des Trois Soeurs, 75111 Paris",2 pièces,avant 1946,non meublée,16.4,23.4,28.1
"Impasse des Trois Soeurs, 75111 Paris",2 pièces,1946-1970,meublée,16.4,23.4,28.1
"Impasse des Trois Soeurs, 75111 Paris",2 pièces,1946-1970,non meublée,16.4,23.4,28.1
"Impasse des Trois Soeurs, 75111 Paris",2 pièces,1971-1990,meublée,16.4,23.4,28.1
