name,latitude,longitude,type
Unknown,48.8666194,2.2726102,ticket_validator
Unknown,48.8854925,2.3294707,parking_entrance
Suraj,48.827448,2.3148336,restaurant
Café du Passage,48.8524729,2.373815,cafe
L'Ancienne Menuiserie,48.8673444,2.3739608,restaurant
Kaskad' Café,48.8827101,2.3828955,bar
Lou Pascalou,48.8662492,2.3855839,bar
Aux Tables du Père Lachaise,48.8632191,2.3875763,restaurant
Bocamexa,48.8570725,2.3560078,restaurant
Le Moulin à Café,48.8334851,2.3198808,restaurant
Le Muguet,48.8527753,2.4059315,restaurant
SAMU Social de Paris,48.844546,2.4150005,social_facility
La Popotière,48.8551966,2.4016334,restaurant
Sohna Punjab,48.8540343,2.4058858,restaurant
Le Cardinal,48.8373251,2.2574534,restaurant
McDonald's,48.8383152,2.2578229,fast_food
Unknown,48.8381563,2.257822,post_box
Les Fontaines,48.8378504,2.2579307,restaurant
Société Générale,48.8379602,2.2583959,bank
Paris Feuillantines,48.8412969,2.3438267,post_office
Unknown,48.8453785,2.2921763,toilets
Unknown,48.846001,2.2950841,post_box
Unknown,48.8553049,2.4152098,toilets
Paris Pyrénées,48.8686674,2.3958418,post_office
Paris Télégraphe,48.872894,2.3994035,post_office
Unknown,48.8725105,2.3979845,post_box
McDonald's,48.870959,2.3477192,fast_food
Centre dentaire Dentylis Vaugirard - Convention,48.841012,2.3066005,dentist
Unknown,48.8297742,2.3340925,post_box
Unknown,48.8374403,2.2720831,drinking_water
La Cordonnerie,48.8652231,2.3505935,bar
Petites Écuries - Faubourg Poissonnière,48.8739628,2.3483713,bicycle_rental
Paris Drouot,48.8742245,2.3396574,post_office
Le Syphax,48.8761363,2.3377084,bar
Le Nemrod,48.8488333,2.3253506,restaurant
La Banque Postale,48.8585778,2.3007057,atm
Crédit du Nord,48.8579137,2.300566,bank
Unknown,48.8386496,2.3228171,post_box
La Grille Montorgueil,48.8647212,2.3469127,restaurant
Le Plomb du Cantal,48.8693462,2.3552659,restaurant
L’Arrosoir,48.8461619,2.378132,restaurant
Mama Nissa,48.8657876,2.3453001,restaurant
Unknown,48.874183,2.3379248,bicycle_parking
Unknown,48.8828014,2.3593396,bicycle_parking
Unknown,48.8428024,2.3024212,recycling
Unknown,48.8331642,2.3445206,post_box
Vadrouille,48.8773406,2.3373832,restaurant
Unknown,48.856618,2.4024321,post_box
Unknown,48.8561996,2.4042235,dentist
Paris Reuilly,48.8463962,2.3870738,post_office
Unknown,48.8303058,2.3456564,post_box
Le Voltaire,48.8591165,2.3302244,restaurant
Kokohana,48.8697776,2.3105917,restaurant
La Table du Lancaster,48.8722601,2.3035046,restaurant
Spoon,48.8686679,2.3066263,restaurant
Unknown,48.8582058,2.3498024,toilets
Unknown,48.8535124,2.3349428,recycling
Unknown,48.8534242,2.3334679,post_box
Unknown,48.8496184,2.352169,recycling
Unknown,48.873137,2.2834717,post_box
Unknown,48.849999,2.3688118,post_box
Pharmacie du Palais Royal,48.8622352,2.3395906,pharmacy
Pharmacie du Louvre,48.8621947,2.3416613,pharmacy
Le Dix restaurant,48.8671682,2.3656836,restaurant
Léon de Bruxelles,48.8667526,2.3657202,restaurant
Mon Coco,48.866667,2.3656514,restaurant
Pharmacie de la Place République,48.866451,2.3643006,pharmacy
Café République,48.8667246,2.3638798,cafe
Bong,48.8666561,2.3663425,restaurant
Toucan Café,48.8665896,2.3667125,cafe
Plein Soleil,48.8656439,2.3744745,restaurant
Centre médical République,48.8637841,2.3814177,doctors
Mass Works,48.8630511,2.3852954,cafe
